conf.booktitle,array_1[..3],array_2[..3]
JCDKB,"[R*: An Overview of the Architecture.,An Execution Model for Active Data Base Management Systems.,Incorporating Data Types in an Extensible Database Architecture.]","[17,6,6]"
FOCS,"[Concurrency Control for Database Systems,A Dichromatic Framework for Balanced Trees,The Complexity of Distributed Concurrency Control]","[16,10,4]"
ICLP,"[Design Overview of the NAIL! System.,Implementation of Recursive Queries for a Data Language Based on Pure Horn Logic.,A Database-Complete Proof Procedure Based on SLD-Resolution.]","[15,7,5]"
MFCS,"[Theory of Relations for Databases - A Tutorial Survey.,On the Completeness of Query Languages for Relational Data Bases.,On Semantic Issues in the Relational Model of Data.]","[14,6,5]"
EDBT,"[O2, an Object-Oriented Data Model.,A Uniform Approach to Constraint Satisfaction and Constraint Satisfiability in Deductive Databases.,Single Table Access Using Multiple Indexes: Optimization, Execution, and Concurrency Control Techniques.]","[14,10,10]"
ICSE,"[A Principle for Resilient Sharing of Distributed Resources.,A Synthetic English Query Language for a Relational Accociative Processor.,A Framework for Data Base Semantic Integrity.]","[13,3,2]"
STOC,"[Optimal Implementation of Conjunctive Queries in Relational Data Bases,The Complexity of Relational Query Languages (Extended Abstract),Properties of Acyclic Database Schemes]","[13,11,7]"
OODBS,"[The Architecture of the EXODUS Extensible DBMS.,Indexing in an Object-Oriented DBMS.,Rules Are Objects Too: A Knowledge Model For An Active, Object-Oriented Database System.]","[13,12,11]"
AAAI,"[TREAT: A Better Match Algorithm for AI Production System Matching.,Advances in Rete Pattern Matching.,Five Parallel Algorithms for Production System Execution on the DADO Machine.]","[12,6,5]"
Storage and Retrieval for Image and Video Databases (SPIE),"[The QBIC Project: Querying Images by Content, Using Color, Texture, and Shape.,Photobook: Tools for Content-Based Manipulation of Image Databases.,Interactive Outlining: An Improved Approach Using Active Contours.]","[12,5,3]"
DBPL,"[Queries and Views in an Object-Oriented Data Model.,A Query Language for the O,Structural Recursion as a Query Language.]","[12,10,5]"
ICOD,"[Access Path Selection in Distributed Database Management Systems.,The Outer Join.,Handling the Time Dimension in a Data Base.]","[11,5,4]"
CADE,"[On Indefinite Databases and the Closed World Assumption.,SATCHMO: A Theorem Prover Implemented in Prolog.,Applications of Protected Circumscription.]","[11,3,3]"
DPDS,"[Parallelism in Relational Data Base Systems: Architectural Issues and Design Approaches.,Effect of Skew on Join Performance in Parallel Architectures.,Multiprocessor Main Memory Transaction Processing.]","[10,7,6]"
IFIP Working Conference Data Base Management,"[Seven Steps to Rendezvous with the Casual User.,Data Semantics.,Data Structuring in the DDL and Relational Data Model.]","[10,9,3]"
FODO,"[Efficient Similarity Search In Sequence Databases.,Adaptive Load Balancing in Disk Arrays.,A Hash Join Technique for Relational Database Systems.]","[9,3,3]"
SIGMETRICS,"[Multi-Disk Management Algorithms.,A Benchmark of NonStop SQL Release 2 Demonstrating Near-Linear Speedup and Scaleup on Large Databases.,An Analytic Performance Model of Disk Arrays.]","[9,5,4]"
ER,"[The Structural Model for Database Design.,TOODM - A Temporal Object-Oriented Data Model with Temporal Constraints.,A Graphical Query Language for Entity-Relationship Databases.]","[8,7,7]"
ICDCS,"[Voting with Witnesses: A Constistency Scheme for Replicated Files.,Scaling Heterogeneous Databases and the Design of Disco.,A Transaction Model for Multidatabase Systems.]","[8,6,4]"
PODC,"[The Failure and Recovery Problem for Replicated Databases.,Why Control of the Concurrency Level in Distributed Systems is More Fundamental Than Deadlock Management.,A Theory of Relaxed Atomicity (Extended Abstract).]","[8,7,5]"
AFIPS National Computer Conference,"[INGRES: A Relational Data Base System.,Query by Example.,RAP - An Associative Processor for Database Management.]","[7,6,3]"
DOOD,"[Formal Models for Object Oriented Databases.,Reloop, an Algebra Based Query Language for an Object-Oriented Database System.,G-Log: A Declarative Graphical Query Language.]","[7,5,4]"
DS-5,"[So Far (Schematically) yet So Near (Semantically).,Object Identification in Multidatabase Systems.,Knowledge Based Integration of Heterogeneous Databases.]","[7,2,2]"
WG,"[The Grid File: A Data Structure to Support Proximity Queries on Spatial Objects.,Graph Algorithms = Iteration + Data Structures? The Structure of Graph Algorithms and a Corresponding Style of Programming.,Transitive Closure Algorithms for Very Large Databases.]","[7,1,1]"
SSDBM,"[The Representation of a Temporal Data Model in the Relational Environment.,A Framework for Query Optimization in Temporal Databases.,An Extension of Relational Algebra for Summary Tables.]","[6,5,4]"
ICDT,"[Updates, A New Frontier.,Filtering Data Flow in Deductive Databases.,Querying Semi-Structured Data.]","[6,6,6]"
Advanced Course: Distributed Systems,"[Atomic Transactions.,The Argus Language and System.,Applications and Protocols.]","[6,3,1]"
DDSS,"[ADDS - Heterogeneous Distributed Database System.,Concurrency Control Issues in Distributed Heterogeneous Database Management Systems.,Query Processing Strategies in a Distributed Database Architecture.]","[6,4,2]"
CIKM,"[Research Problems in Data Warehousing.,Finding Interesting Rules from Large Sets of Discovered Association Rules.,Termination and Confluence of Rule Execution.]","[6,5,4]"
HPTS,"[Tandem Database Group - NonStop SQL: A Distributed, High-Performance, High-Availability Implementation of SQL.,Altruistic Locking: A Strategy for Coping with Long Lived Transactions.,A Single-User Performance Evaluation of the Teradata Database Machine.]","[6,5,4]"
JICSLP,"[Controlling the Search in Bottom-Up Evaluation.,Query Restricted Bottom-Up Evaluation of Normal Logic Programs.,A Goal-Oriented Approach to Computing Well Founded Semantics.]","[6,5,2]"
Language Design for Reliable Software,"[Process Structuring, Synchronization, and Recovery Using Atomic Actions.,An Experimental Investigation of the Effect of Program Structure on Program Understanding.,Software Reliability: The Role of Programmed Exception Handling.]","[5,1,1]"
KDD,"[Discovering Frequent Episodes in Sequences.,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise.,A Linear Method for Deviation Detection in Large Databases.]","[5,3,3]"
FMLDO,"[Diagnosing Anomalous Rule Behavior in Databases with Integrity Maintenance Production Rules.,Automatic Rule Generation for Constraint Enforcement in Active Databases.,Estimating Selectivity Factors of Spatial Operations.]","[5,2,1]"
IWDM,"[MARS: The Design of a Main Memory Database Machine.,The Development of the CROSS8 and HC16-186 Parallel (Database) Computers.,Evaluation of 18-stage Pipeline Hardware Sorter.]","[5,4,3]"
ISCA,"[The Architecture of CASSM: A Cellular System for Non-numeric Processing.,DIRECT - A Multiprocessor Organization for Supporting Relational Data Base Management Systems.,Parallel Algorithms and Architectures for Rule-Based Systems.]","[5,5,3]"
Rules in Database Systems,"[Dimensions of Active Behaviour.,Better Termination Analysis for Active Databases.,Events in an Active Object-Oriented Database System.]","[5,5,4]"
KR,"[On the Difference between Updating a Knowledge Base and Revising It.,The Role of Common Ontology in Achieving Sharable, Reusable Knowledge Bases.,A Theory of Inferred Causation.]","[5,3,3]"
CAiSE,"[Dealing with Granularity of Time in Temporal Databases.,Similarity for Analogical Software Reuse: A Conceptual Modelling Approach,Time Constraints in Workflow Systems.]","[5,2,2]"
ICALP,"[The Implication Problem for Data Dependencies.,A Transaction Model.,CONS Should Not Evaluate its Arguments.]","[5,4,3]"
SSD,"[Thematic Map Modeling.,The Design of Pictorial Databases Based Upon the Theory of Symbolic Projections.,Ranking in Spatial Databases.]","[5,5,5]"
TACS,"[Constraint Programming and Database Query Languages.,Data Flow Analysis as Model Checking.]","[5,1]"
DBSec,"[Integrity Versus Security in Multi-Level Secure Databases.,Transaction Processing Using an Untrusted Scheduler in a Multilevel Database with Replicated Architecture.,Tuple-level vs Element-level Classification.]","[4,3,3]"
ACM Multimedia,"[VisualSEEk: A Fully Automated Content-Based Image Query System.,CHIMP: A Framework for Supporting Distributed Multimedia Document Authoring and Presentation.,Streaming RAID: A Disk Array Management System for Video Files.]","[4,3,3]"
IJCAI,"[Classification in the KL-ONE Knowledge Representation System.,An Essential Hybrid Reasoning System: Knowledge and Symbol Level Accounts of KRYPTON.,Evaluating Queries in Deductive Databases by Generating.]","[4,4,4]"
AFIPS Spring Joint Computing Conference,"[Sorting Networks and Their Applications.,Handling the growth by definition of mechanical languages.]","[4,1]"
BNCOD,"[SIS - A Schema Integration System.,From Database Systems to Multidatabase Systems: Why and How.,Logic as a Database Language.]","[4,4,3]"
ALT,"[Efficient Induction of Logic Programs.,Unifying Learning Methods by Colored Digraphs.,Identifying and Using Patterns in Sequential Data.]","[4,1,1]"
IFIP TC-2 Working Conference on Data Base Architecture,"[Optimization of Logging and Recovery in a Database System.,Distributed Database Partitioning and Query Processing.,Recovery Based on Types.]","[4,2,2]"
POS,"[Transaction Groups: A Model for Controlling Cooperative Transactions.,Modeling Heterogeneous Systems as an Active Object Space.,Commutativity-Based Locking for Nested Transactions.]","[4,3,3]"
FJCC,[A Symmetric Concurrent B-Tree Algorithm.],[4]
PLDI,"[Lazy Code Motion.,Complete Removal of Redundant Computations.,A Data Locality Optimizing Algorithm.]","[4,4,3]"
SIGIR,"[S-Tree: A Dynamic Balanced Signature Index for Office Retrieval.,Integration of Probabilistic Fact and Text Retrieval.,Partitioned Posting Files: A Parallel Inverted File Structure for Information Retrieval.]","[4,3,3]"
LICS,"[RI: A Logic for Reasoning with Inconsistency,Undecidable Optimization Problems for Database Logic Programs,Database Query Languages Embedded in the Typed Lambda Calculus]","[4,4,3]"
DAC,"[Versions and Change Notification in an Object-Oriented Database System.,Browsing in Chip Design Database.,Toward Synthesis from English Descriptions.]","[4,1,1]"
ADB,"[An Intelligent Database System Application: The Design of EMS.,Text / Relational Database Management Systems: Harmonizing SQL and SGML.,Efficient Image Retrieval By Color Contents.]","[4,2,2]"
SIGPLAN Symposium on Compiler Construction,"[Register Allocation & Spilling via Graph Coloring.,Efficient computation of flow insensitive interprocedural summary information.,A Truly Generative Semantics-Directed Compiler Generator.]","[4,2,2]"
NACLP,"[Propagating Constraints in Recusive Deduction Databases.,Déjà Vu in Fixpoints of Logic Programs.,HiLog: A First-Order Semantics for Higher-Order Logic Programming Constructs.]","[4,4,3]"
IWDOM,"[Declarative Definition of Object-Oriented Multidatabase Mappings.,Object Algebra and Views for Multi-Objectbases.,An Approach to Behavior Sharing in Federated Database Systems.]","[4,3,2]"
CoopIS,"[Using Object Matching and Materialization to Integrate Heterogeneous Databases.,OBSERVER: An Approach for Query Processing in Global Information Systems based on Interoperation across Pre-existing Ontologies.,Dynamic Classification Ontologies for Discovery in Cooperative Federated Databases.]","[4,3,3]"
DASFAA,"[LOLA - A Logic Language for Deductive Databases and its Implementation.,The Multilevel Grid File - A Dynamic Hierarchical Multidimensional File Structure.,Continuous Media Sharing in Multimedia Database Systems.]","[4,3,3]"
ADL,"[Discovering Web Access Patterns and Trends by Applying OLAP and Data Mining Technology on Web Logs.,Logical Information Modeling of Web-Accessible Heterogeneous Digital Assets.,A Metadata Architecture for Digital Libraries.]","[3,3,2]"
NATO ASI OODBS,"[Transaction Models and Transaction Management in Object-Oriented Database Management Systems.,Functional Programming Formalisms for OODBMS Methods.,Optimization of Object-Oriented Queries: Problems and Approaches.]","[3,2,2]"
ASPLOS,"[Parity Declustering for Continuous Operation in Redundant Disk Arrays.,Performance Consequences of Parity Placement in Disk Arrays.,Cache-Conscious Data Placement.]","[3,2,1]"
Hypertext,"[Expressing Structural Hypertext Queries in GraphLog.,Expanding the Notion of Links.,Media-based Navigation with Generic Links.]","[3,1,1]"
IWMM,[Uniprocessor Garbage Collection Techniques.],[3]
ICMCS,"[Spatio-Temporal Indexing for Large Multimedia Applications.,A Scalable Video-on-Demand Service for the Provision of VCR-Like Functions.,Content-Based Access to Algebraic Video.]","[3,2,2]"
LISP and Functional Programming,"[A Proposal for Standard ML.,A Compiler for Lazy ML.,Modules for Standard ML.]","[3,2,2]"
ECAI,"[Subsumption Algorithms for Concept Description Languages.,On the Consistency of Knowledge Bases: The COVADIS System.,Top-Down Query Evaluation for Well-Founded Semantics with Explicit Negation.]","[3,2,1]"
KDOOD/TDOOD,"[Meta-Rule-Guided Mining of Association Rules in Relational Databases.,An Overview of Database Mining Techniques.]","[3,1]"
"Temporal Databases, Dagstuhl","[The Consensus Glossary of Temporal Database Concepts - February 1998 Version.,Temporal Database Bibliography Update.,A Glossary of Time Granularity Concepts.]","[3,2,2]"
IFIP TC-2 Special Working Conference on Data Base Description,"[An Assessment of the CODASYL DDL for Use with a Relational Subschema.,An Analysis of the Flaws in the Schema DDL and Proposed Improvements.,An Analysis of the Uses of the CODASYL Set Concept.]","[3,2,2]"
Spatio-Temporal Reasoning,"[Temporal Databases.,Reasoning about Gradual Changes of Topological Relationships.,The Observer's Point of View: An Extension of Symbolic Projections.]","[3,2,1]"
ECOOP,"[TOOA: A Temporal Object-Oriented Algebra.,Optimizing Dynamically-Typed Object-Oriented Languages With Polymorphic Inline Caches.,Object Integrity Using Rules.]","[3,2,2]"
RTSS,"[Experimental Evaluation of Real-Time Transaction Processing.,Object-Based Semantic Real-Time Concurrency Control.,Enhancing Real-Time DBMS Performance with Multiversion Data and Priority Based Disk Scheduling.]","[3,3,2]"
PPCP,"[Aggregation in Constraint Databases.,Constraint Objects.,Set Constraints and Set-Based Analysis.]","[3,2,1]"
SRDS,"[Vote Assignments in Weighted Voting Mechanisms.,Autitor: A Framework for Highly Available DB/DC Systems.,Early Stopping Algorithms for Distributed Agreement under Fail-Stop, Omission, and Timing Fault-Types.]","[3,1,1]"
ACM Annual Conference,"[An Overview of the Multidatabase System MRDSM.,A Detailed Database Statistics Model for Realtional Query Optimization.,The Architectural Requirements and Integration Analyses of a Database Server for Office Automation.]","[3,2,1]"
"Workshop on Deductive Databases, JICSLP","[Maintenance of Materialized Views in a Deductive Database: An Update Propagation Approach.,Counting solutions to the View Maintenance Problem.,Modeling Database Updates with Constraint Logic Programming.]","[3,2,1]"
SLP,"[Compiling Exploratory and Goal-Directed Deduction into Sloppy Delta-Iteration.,Extension Tables: Memo Relations in Logic Programming.,EDUCE: A Marriage of Convenience: Prolog and a Relational DBMS.]","[3,3,3]"
TREC,"[The Collection Fusion Problem.,Overview of the First Text REtrieval Conference (TREC-1).,Combination of Multiple Searches.]","[3,2,1]"
DEXA,"[RTSORAC: A Real-Time Object-Oriented Database Model.,The INQUERY Retrieval System.,Query Optimization in Object-Oriented Database Systems.]","[3,3,2]"
RCLP,[Integrity Verification in Knowledge Bases.],[3]
CP,"[Safe Stratified Datalog with Integer Order Programs.,Tractable Disjunctive Constraints.,On Similarity Queries for Time-Series Data: Constraint Specification and Implementation.]","[3,1,1]"
VDB,"[Automatic Video Indexing and Full-Video Search for Object Appearances.,An Algebra for Symbolic Image Manipulation and Transformation.,Querying Multimedia Data from Multiple Repositories by Content: the Garlic Project.]","[3,2,2]"
Advanced Database Systems,"[A Data Model for Time-Series Analysis.,Parallel Query Processing.,COMPOSE: A System For Composite Specification And Detection.]","[3,2,1]"
DMKD,"[Clustering Based On Association Rule Hypergraphs.,A Fast Clustering Algorithm to Cluster Very Large Categorical Data Sets in Data Mining.,On the Complexity of Mining Temporal Trends.]","[3,1,1]"
FTCS,"[Design and Modeling of Clustered RAID.,Evaluating Quorum Systems over the Internet.,Transis: A Communication Subsystem for High Availability.]","[2,1,1]"
SAC,"[Object-Oriented Schema Extension and Abstraction.,A Parallelized Search Strategy for Solving a Multicriteria Aircraft Routing Problem.,Location Management Methods of Migratory Data Resources in ATM Networks.]","[2,1,1]"
SC,"[A scheduler-sensitive global register allocator.,An HPF Compiler for the IBM SP2.,Interprocedural Compilation of Fortran D for MIMD Distributed-Memory Machines.]","[2,1,1]"
USENIX Summer,"[Multimedia/Realtime Extensions for the Mach Operating System.,Why Aren't Operating Systems Getting Faster As Fast as Hardware?,Mach: A New Kernel Foundation for UNIX Development.]","[2,2,2]"
USENIX Winter,"[Kerberos: An Authentication Service for Open Network Systems.,GLIMPSE: A Tool to Search Through Entire File Systems.,Essence: A Resource Discovery System Based on Semantic File Indexing.]","[2,2,1]"
EFIS,"[Constructing Multidatabase Collections Using an Extended ODMG Object Model.,Supporting Information Fusion with Federated Database Technologies (Position Paper).,Applying Configurable Event-triggered Services in Heterogeneous, Distributed Information Systems.]","[2,2,1]"
STACS,"[Enclosing Many Boxes by an Optimal Pair of Boxes.,Polymorphism, Parameterization and Typing: An Algebraic Specification Perspective.,Structure of Relations Satisfying Certain Families of Dependencies.]","[2,1,1]"
FGCS,"[Database Updates in Pure Prolog.,Efficient Query Answering on Stratified Databases.,Operating System PIMOS and Kernel Language KL1.]","[2,1,1]"
CHI,"[SenseMaker: An Information-Exploration Interface Supporting the Contextual Evolution of a User's Interests.,How to Personalize the Web.,Social Information Filtering: Algorithms for Automating ""Word of Mouth"".]","[2,1,1]"
ISOOMS,[Beyond Coupling Modes: Implementing Active Concepts on Top of a Commercial ooDBMS.],[2]
COMAD,"[Concept Hierarchies for Database Integration in a Multidatabase System.,Database Compression: A Performance Enhancement Tool.,An Adaptive, Load Balancing Parallel Join Algorithm.]","[2,1,1]"
LCPC,"[Global Register Allocation Based on Graph Fusion.,Mutation Scheduling: A Unified Approach to Compiling for Fine-Grain Parallelism.,A Unified Data-Flow Framework for Optimizing Communication.]","[2,1,1]"
ICS,"[Code scheduling and register allocation in large basic blocks.,Evaluating the impact of memory system performance on software prefetching and locality optimizations.]","[2,1]"
MFDBS,"[Approaches to Updates over Weak Instances.,Integration of Functions in the Fixpoint Semantics of Rule-Based Systems.,Towards a Schema Design Methodology for Deductive Databases.]","[2,1,1]"
IEEE Symposium on Security and Privacy,"[Transaction Processing in Multilevel-Secure Databases Using Replicated Architecture.,Discretionary Access Controls in a High-Performance Object Management System.,Multiversion Concurrency Control for Multilevel Secure Database Systems.]","[2,2,2]"
FSTTCS,"[Well-Founded Ordered Search (Extended Abstract).,Persistent First Class Procedures are Enough.,On Synthesizing Systolic Arrays from Recurrence Equations with Linear Dependencies.]","[2,2,1]"
IDS,"[A Framework for Intelligent Visual Interface Design for Database Systems.,GUIDANCE: Making it Easy for the USer to be an Expert.,A Visual Database Management Interface Based on GOOD.]","[2,1,1]"
IPSJ,[The TSIMMIS Project: Integration of Heterogeneous Information Sources.],[2]
ACM Conference on Computer and Communications Security,"[Authorizations in Relational Database Management Systems.,A Temporal Authorization Model.,A Pump for Rapid, Reliable, Secure Communication.]","[2,2,1]"
COSIT,"[Maintaining Qualitative Spatial Knowledge.,The Semantics of Relations in 2D Space Using Representative Points: Spatial Indexes.,Spatial Queries and Data Models.]","[2,2,2]"
DS-6,"[Data Semantics on the Information Superhighway.,Extending a Multidatabase Manipulation Language to Resolve Schema and Data Conflicts.,Towards a Framework for Efficient Management of Potentially Conflicting Database Updates.]","[2,2,1]"
DS-7,[OLAP Mining: Integration of OLAP with Data Mining.],[2]
ACM-GIS,"[A Distance Scan Algorithm for Spatial Access Structures.,Path Queries for Transportation Networks: Dynamic Reordering and Sliding Window Paging Techniques.,Geographical Image Classification and Retrieval.]","[2,1,1]"
CDB,"[DISCO: A Constraint Database System with Sets.,Towards the Definition of a Spatial Object-Oriented Data Model with Constraints.,On the Complexity of BV-tree Updates.]","[2,1,1]"
BTW,"[Simplifying Complex Objects: The PROBE Approach to Modelling and Querying Them.,Unterstützung des Büro-Ablage-Service durch ein Datenbankkernsystem.,The Implementation of the Cell Tree: Design Alternatives and Performance Evaluation.]","[2,2,2]"
Data Base Techniques for Pictorial Applications,[Integrated Geographic Data Bases: The GADS Experience.],[2]
IBM Symposium: Data Base Systems,[On the Integrity of Data Bases and Resource Locking.],[2]
Symposium on Reliability in Distributed Software and Database Systems,"[A Distributed Algorithm for Deadlock Detection and Resolution.,Coping with Network Partitions and Processor Failures in a Distributed System.,The Vulnerability of Voting Mechanisms.]","[2,1,1]"
NOSSDAV,"[Mon-Song Chen, Dilip D. Kandlur: Design and Analysis of a Grouped Sweeping Scheme for Multimedia Storage Management.,The Real-Time Channel Administration Protocol.,A Continuous Media Player.]","[2,1,1]"
FQAS,[Partial Answers for Unavailable Data Sources.],[2]
CC,"[Strength Reduction via SSAPRE.,Data Compression Transformations for Dynamically Allocated Data Structures.,Solving Demand Versions of Interprocedural Analysis Problems.]","[2,1,1]"
OSDI,"[Cooperative Caching: Using Remote Client Memory to Improve File System Performance.,Opportunistic Log: Efficient Installation Reads in a Reliable Storage Server.,Dealing with Disaster: Surviving Misbehaved Kernel Extensions.]","[2,1,1]"
COMPCON,"[How reliable is a RAID?,Business Process Management With FlowMark.,Arm scheduling in shadowed disks.]","[2,2,2]"
Workshop on Deductive Databases,"[Deductive Databases for Genomic Mapping (Extended Abstract).,Glue: A Deductive Database Programming Language (Extended Abstract).,CORAL - A Database Programming Language.]","[2,1,1]"
ILPS,"[Datalog with Integer Periodicity Constraints.,A Portable Method of Integrating SLG Resolution into Prolog Systems.,Optimizations of Bottom-Up Evaluation with Non-Ground Terms.]","[2,2,2]"
ICML,"[Supervised and Unsupervised Discretization of Continuous Features.,Beyond Independence: Conditions for the Optimality of the Simple Bayesian Classifier.,NewsWeeder: Learning to Filter Netnews.]","[2,1,1]"
MICRO,"[Iterative modulo scheduling: an algorithm for software pipelining loops.,Efficient Path Profiling.,Hot Cold Optimization of Large Windows/NT Applications.]","[2,2,2]"
ML,"[Trading Off Simplicity and Coverage in Incremental concept Learning.,Constructive Induction in Knowledge-Based Neural Networks.,A Knowledge Intensive Approach to Concept Induction.]","[2,1,1]"
ECHT,"[Specifying Temporal Behavior in Hypermedia Documents.,A Logical Query Language for Hypertext Systems.,Backtracking in a Multiple-Window Hypertext Environment.]","[2,2,2]"
ECI,"[Integrity, Concurrency, and Recovery in Databases.,The Grid File: An Adaptable, Symmetric Multi-Key File Structure.,Serializability Problems of Interleaved Database Transactions.]","[2,2,2]"
Advanced Programming Environments,"[DAMOKLES - A Database System for Software ENgineering Environments.,Toward a Persistent Object Base.]","[2,1]"
NF²,"[On the Normalization in Nested Relational Databases.,VERSO: A Database Machine Based On Nested Relations.,The Two Roles of Nested Relations in the DASDBS Project.]","[2,2,2]"
FPCA,"[F-Bounded Polymorphism for Object-Oriented Programming.,The Categorical Abstract Machine.,Cyclic Reference Counting for Combinator Machines.]","[2,1,1]"
IEA/AIE (Vol. 1),"[The ISA Expert System: A Prototype System for Failure Diagnosis on the Space Station.,Okies: A Troubleshooter in the Factory.,Knowledge-Directed Induction in a DB Environment.]","[2,1,1]"
LPNMR,"[Relating Disjunctive Logic Programs to Default Theories.,Contradiction Removal within Well Founded Semantics.,Implementing Stable Semantics by Linear Programming.]","[2,2,1]"
GI Jahrestagung,"[Query Languages in Data Base Systems.,Multidimensional B-tree: An Efficient Dynamic File Structure for Exact Match Queries.]","[2,1]"
Future Databases,"[The ADKMS Knowledge Acquisition System.,Hyperbase Systems: A Structured Architecture.,An Object-Oriented Database System and its View Mechanism for Schema Integration.]","[1,1,1]"
XPS,"[G-KARL: A Graphical, Formal, and Executable Specification Language.]",[1]
LP,[KORE: A Hybrid Knowledge Programming Environment for Decision Support Based on a Logic Programming Language.],[1]
WebDB,"[Bringing Database Functionality to the WWW.,WebSuite: A Tool Suite for Harnessing Web Data.,Transactional Services for the Web.]","[1,1,1]"
RIDE,"[On Periodic Resource Scheduling for Continuous Media Databases.,Generalization and Decision Tree Induction: Efficient Classification in Data Mining.,Scheduling Strategies for Mixed Workloads in Multimedia Information Servers.]","[1,1,1]"
Symposium on Computational Geometry,[Efficient Plane Sweeping in Parallel.],[1]
ISMIS,"[A Case-Based Reasoning Approach for Associative Query Answering.,Updates with Equality: Beyond the Herbrand Universe Assumption.,Applying an Extended Relational Model to Indefinite Deductive Databases.]","[1,1,1]"
SSR,"[Specification Matching for Software Reuse: A Foundation.,Building Reusable Components in the Public Administration Domain.,Systematic Reuse: A Scientific or an Engineering Method?]","[1,1,1]"
PRISMA Workshop,"[The EDS Parallel Relational Database System.,POOL-X and its Implementation.,Parallel Query Execution in PRISMA/DB.]","[1,1,1]"
Data Base Design Techniques II,"[Physical Database Design Techniques.,Pattern Databases.,Parallel Join and Sorting Algorithms.]","[1,1,1]"
Data Base Design Techniques I,[Principles of Database Conceptual Design.],[1]
PPOPP,"[ActorSpaces: An Open Distributed Programming Paradigm.,Integrating Message-Passing and Shared-Memory: Early Experience.,An Approach to Ordering Optimizing Transformations.]","[1,1,1]"
NMELP,[Logic Programming with Assumption Denials.],[1]
INDOCRYPT,[Cryptanalysis of the A5/1 GSM Stream Cipher.],[1]
HiPC,[Dynamic Slicing of Concurrent Programs.],[1]
CONCUR,[Efficient Parallelism vs Reliable Distribution: A Trade-off for Concurrent Computations.],[1]
Semantics in Databases,[Semantics of Database Transformations.],[1]
Graph-Grammars and Their Application to Computer Science and Biology,"[A Tutorial and Bibliographical Survey on Graph Grammars.,Introduction to the Algebraic Theory of Graph Grammars (A Survey).]","[1,1]"
Selected Areas in Cryptography,"[Conditional Estimators: An Effective Attack on A5/1.,An Improved Correlation Attack on A5/1.]","[1,1]"
BDA,"[Dealing with Discrepancies in Wrapper Functionality.,Active Views for Electronic Commerce.]","[1,1]"
SAS,"[TVLA: A System for Implementing Static Analyses.,Checking Cleanness in Linked Lists.,Property-Oriented Expansion.]","[1,1,1]"
IPPS,"[Combining dependence and data-flow analyses to optimize communication.,Data Access Reorganizations in Compiling Out-of-Core Data Parallel Programs on Distributed Memory Machines.]","[1,1]"
IPPS/SPDP,[A Novel Compilation Framework for Supporting Semi-Regular Distributions in Hybrid Applications.],[1]
IPDPS,[How to make Discretionary Access Control secure against trojan horses.],[1]
ESEC,"[Formal Specification Using Structured Systems Analysis.,The Treatment of Non-Functional Requirements in MIKE.,Using Formal Methods to Construct a Software Component Library.]","[1,1,1]"
ESEC / SIGSOFT FSE,"[Refining Data Flow Information Using Infeasible Paths.,Feasible Test Path Selection by Principal Slicing.]","[1,1]"
TIME,[An Approach to Model and Query Event-Based Temporal Data.],[1]
